단지코드,차량보유대수(전체),차량보유대수(전기차),전기충전기설치여부(지상),전기충전기설치여부(지하),전기차전용주차면수(지상),전기차전용주차면수(지하),외부인개방여부(지상),외부인개방여부(지하),이용가능시작시간(지상),이용가능시작시간(지하),이용종료시작시간(지상),이용종료시작시간(지하),전기차충전시설(상세),전기차 충전시설 설치대수(지상),전기차 충전시설 설치대수(지하),입주편의시설
A15081001,387,30,미설치,설치,0,7,,입주민전용,,0시 0분,,23시 0분,◆1◆|지하|벽부형충전기|AC3상 7핀|완속|7|성원이엔씨(주)|,0,7,없음
A15081002,1010,10,미설치,설치,0,10,,입주민전용,시 분,24시 0분,시 분,24시 0분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|10|지에스커넥트|,0,10,없음
A15081105,565,11,미설치,설치,0,11,,,시 분,0시 0분,시 분,0시 0분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|11|에버온|,0,11,없음
A15081107,1354,27,미설치,설치,0,27,,입주민전용,시 분,0시 0분,시 분,23시 0분,"◆1◆|지하|벽부형충전기|AC단상 5핀|완속|22|지에스커넥트(주)|,◆2◆|지하|스탠드형충전기|AC단상 5핀|완속|4|한전|,◆3◆|지하|스탠드형충전기|AC3상 7핀|급속|1|한전|",0,27,없음
A15081201,221,1,미설치,설치,0,3,,입주민전용,시 분,0시 0분,시 분,0시 0분,◆1◆|지하|벽부형충전기|직접입력|완속|3|한국전기차인프라기술|,0,3,없음
A15081503,450,0,설치,미설치,6,0,외부인허용,,0시 0분,,23시 59분,,◆1◆|지상|벽부형충전기|AC3상 7핀|완속|6|차지비|,6,0,없음
A15081602,310,4,설치,미설치,5,0,,,12시 0분,시 분,24시 0분,시 분,◆1◆|지상|스탠드형충전기|AC3상 7핀|완속|5|LGU+|,5,0,없음
A15081604,525,624,미설치,미설치,0,0,,,시 분,시 분,시 분,시 분,,,,없음
A15081606,532,6,설치,미설치,0,0,입주민전용,,0시 0분,시 분,23시 59분,시 분,◆1◆|지상|벽부형충전기|직접입력|완속|6|플러그링크|,6,0,있음
A15081802,269,4,설치,설치,4,6,,,23시 0분,9시 0분,23시 0분,18시 0분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|6|차지비|,0,6,없음
