시군구,동리,단지코드,단지명,단지분류,도로명주소,분양형태,사용승인일,동수,세대수,분양세대수,임대세대수,관리방식,난방방식,복도유형
성북구,장위동,A10026571,꿈의숲코오롱하늘채아파트,아파트,서울특별시 성북구 돌곶이로 220,혼합,20171030,5,513,421,92,위탁관리,개별난방,혼합식
금천구,독산동,A10027188,금천롯데캐슬골드파크1차아파트,아파트,서울특별시 금천구 벚꽃로 40,혼합,20161130,11,1743,1560,183,위탁관리,개별난방,계단식
송파구,문정동,A10027346,파크하비오푸르지오아파트,주상복합,서울특별시 송파구 송파대로 111,분양,20160929,10,999,999,0,위탁관리,지역난방,혼합식
중구,순화동,A10027364,덕수궁롯데캐슬아파트,주상복합,서울특별시 중구 서소문로9길 28,분양,20160831,2,296,296,0,위탁관리,개별난방,복도식
종로구,창신동,A11054101,창신두산,아파트,서울특별시 종로구 지봉로5길 7,분양,19990430,3,529,529,0,위탁관리,개별난방,혼합식
종로구,평창동,A11084601,평창롯데,아파트,서울특별시 종로구 평창문화로 140,분양,20010430,3,156,156,0,위탁관리,개별난방,계단식
서대문구,홍제동,A12009202,홍제삼성래미안,아파트,서울특별시 서대문구 통일로 319,분양,20010613,6,474,474,0,위탁관리,개별난방,혼합식
서대문구,연희동,A12071103,연희대림아파트,아파트,서울특별시 서대문구 연희로32길 20,분양,19930903,3,220,220,0,위탁관리,개별난방,계단식
서대문구,북가좌동,A12081703,디엠씨한양,아파트,"서울특별시 서대문구 응암로 28,서울특별시 서대문구 응암로 32",분양,19870804,6,660,660,0,위탁관리,지역난방,혼합식
마포구,염리동,A12109001,마포자이,아파트,서울특별시 마포구 독막로42길 2,분양,20031205,10,534,534,0,위탁관리,지역난방,계단식
마포구,중동,A12187901,중동계룡,아파트,서울특별시 마포구 월드컵북로38가길 20,분양,20000930,2,180,180,0,위탁관리,개별난방,계단식
은평구,불광동,A12204002,북한산대창센시티,아파트,서울특별시 은평구 불광로 208,분양,20040630,3,256,256,0,위탁관리,개별난방,계단식
은평구,구산동,A12205003,갈현1단지e-편한세상아파트,아파트,서울특별시 은평구 서오릉로21길 47,분양,20041011,3,327,327,0,위탁관리,개별난방,계단식
은평구,진관동,A12220001,은평뉴타운상림마을6단지 제1아파트(8단지 푸르지오),아파트,서울특별시 은평구 진관4로 78-7,혼합,20080514,5,208,108,100,위탁관리,지역난방,혼합식
은평구,구산동,A12282102,브라운스톤구산,아파트,서울특별시 은평구 갈현로17길 17,분양,20060327,6,189,189,0,위탁관리,개별난방,계단식
은평구,수색동,A12287202,DMC진흥아파트,아파트,서울특별시 은평구 은평터널로 60,분양,20030725,6,280,280,0,위탁관리,개별난방,계단식
은평구,수색동,A12287204,이편한세상 수색 에코포레,아파트,서울특별시 은평구 은평터널로 65,분양,20030710,12,976,976,0,위탁관리,개별난방,혼합식
동대문구,휘경동,A13009101,휘경롯데낙천대,아파트,서울특별시 동대문구 외대역동로1길 24,분양,20030715,2,239,239,0,위탁관리,개별난방,계단식
중랑구,신내동,A13113008,신내우디안1단지,아파트,서울특별시 중랑구 신내역로1길 85,혼합,20140618,16,1402,615,787,위탁관리,개별난방,혼합식
중랑구,망우동,A13123001,예성그린캐슬아파트,아파트,서울특별시 중랑구 용마산로112가길 34,분양,20040525,4,191,191,0,위탁관리,개별난방,계단식
도봉구,방학동,A13202002,대상타운현대,아파트,서울특별시 도봉구 마들로 616,분양,20011029,16,1278,1278,0,위탁관리,개별난방,계단식
도봉구,창동,A13204205,창동태영데시앙,아파트,서울특별시 도봉구 도봉로110다길 51,분양,20030714,15,958,958,0,위탁관리,개별난방,계단식
도봉구,창동,A13272201,창동대우그린아파트,아파트,서울특별시 도봉구 덕릉로 371,분양,20001130,5,366,366,0,위탁관리,개별난방,계단식
도봉구,쌍문동,A13286304,쌍문삼익,아파트,서울특별시 도봉구 해등로 195,분양,19881219,14,1541,1541,0,위탁관리,개별난방,혼합식
성동구,금호동2가,A13380302,래미안하이리버,아파트,서울특별시 성동구 금호로 107,분양,20120518,10,847,847,0,위탁관리,개별난방,계단식
강동구,둔촌동,A13406201,둔촌현대2차,아파트,서울특별시 강동구 풍성로65길 34,분양,19880129,2,196,196,0,위탁관리,개별난방,복도식
강동구,명일동,A13482603,명일한양,아파트,서울특별시 강동구 동남로71길 19,분양,19860510,6,540,540,0,위탁관리(직영+위탁),중앙난방,계단식
강동구,명일동,A13482801,명일현대,아파트,서울특별시 강동구 양재대로134길 87,분양,19881004,2,226,226,0,위탁관리,개별난방,혼합식
강남구,대치동,A13528007,래미안대치하이스턴,아파트,서울특별시 강남구 도곡로93길 12,분양,19891206,5,354,354,0,위탁관리,지역난방,계단식
성북구,하월곡동,A13613201,하월곡샹그레빌,아파트,"서울특별시 동대문구 회기로5길 100,서울특별시 성북구 회기로5길 100",분양,20040707,4,352,352,0,위탁관리,개별난방,계단식
서초구,잠원동,A13703019,롯데캐슬갤럭시아파트,아파트,서울특별시 서초구 잠원로14길 23,분양,20040428,8,428,428,0,위탁관리,지역난방,계단식
서초구,방배동,A13770801,방배한신트리플,주상복합,서울특별시 서초구 방배로33길 29,분양,20040227,1,163,163,0,위탁관리,개별난방,혼합식
서초구,양재동,A13789203,양재우성,아파트,서울특별시 서초구 바우뫼로 91,분양,19911129,11,848,848,0,위탁관리,중앙난방,계단식
송파구,문정동,A13820004,가락1차현대아파트,아파트,서울특별시 송파구 동남로 160,분양,19841114,8,514,514,0,위탁관리,지역난방,계단식
송파구,장지동,A13876111,송파파인타운1단지,아파트,서울특별시 송파구 충민로 188,혼합,20100119,7,221,175,46,위탁관리,개별난방,계단식
노원구,상계동,A13920001,상계우방,아파트,서울특별시 노원구 동일로230가길 15,분양,20000630,3,274,274,0,위탁관리,개별난방,계단식
