단지코드,건물구조,전기-수전용량,전기-세대전기계약방식,승강기관리-관리방식,승강기대수,총주차대수,CCTV대수,홈네트워크,부대복리시설,최고층수,지하층수
A13609001,철근콘크리트구조,1550,단일계약,위탁관리,5,220,32,유,"관리사무소, 어린이놀이터, 자전거보관소",25,3
A13613012,철근콘크리트구조,2300,단일계약,위탁관리,7,352,113,유,"관리사무소, 주민공동시설, 어린이놀이터, 자전거보관소",23,6
A13613009,철근콘크리트구조,3550,단일계약,위탁관리,31,729,214,유,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",14,2
A13613011,철골철근콘크리트구조,4800,단일계약,위탁관리,8,944,182,유,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",36,7
A13613007,철근콘크리트구조,4500,종합계약,위탁관리,37,1746,227,유,"관리사무소, 노인정, 어린이놀이터",20,0
A10020292,철골철근콘크리트구조,2500,종합계약,위탁관리,5,152,72,유,"관리사무소, 주민공동시설, 커뮤니티공간, 자전거보관소",26,4
A10023322,철골콘크리트구조,1200,단일계약,위탁관리,2,50,36,무,"관리사무소, 주민공동시설",19,3
A10020750,철골콘크리트구조,1500,단일계약,위탁관리,3,85,104,유,"관리사무소, 휴게시설, 커뮤니티공간, 자전거보관소",27,2
A13613004,철근콘크리트구조,2250,종합계약,위탁관리,9,426,109,무,"관리사무소, 노인정",24,5
A13613002,철골철근콘크리트구조,682,단일계약,위탁관리,3,148,34,무,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",16,2
A13613003,철근콘크리트구조,600,단일계약,위탁관리,3,209,38,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",18,2
A10024661,기타철골철근콘크리트구조,600,종합계약,위탁관리,3,175,50,유,"관리사무소, 자전거보관소",15,4
A13613008,철근콘크리트구조,8250,단일계약,위탁관리,67,2662,320,무,,20,0
A13613010,철근콘크리트구조,1150,단일계약,위탁관리,6,367,0,유,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",16,3
A13613006,철근콘크리트구조,3000,단일계약,위탁관리,19,932,156,유,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",23,2
A10021241,,,,,0,0,,,,41,5
A13613005,철근콘크리트구조,2000,단일계약,위탁관리,26,640,115,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",24,2
A13613201,철근콘크리트구조,1550,단일계약,위탁관리,10,378,102,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",22,2
A13613001,철근콘크리트구조,990,단일계약,위탁관리,5,151,22,무,"관리사무소, 노인정, 어린이놀이터",20,1
A10022464,철근콘크리트구조,995,종합계약,위탁관리,5,156,22,무,,20,1
A13678401,철근콘크리트구조,650,단일계약,위탁관리,4,128,20,무,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",20,1
A13612001,철근콘크리트구조,850,단일계약,위탁관리,7,224,39,무,"관리사무소, 노인정, 어린이놀이터",18,2
